facility_id,facility_type,inlet_node,outlet_node,crest_height,discharge_coefficient,initial_setting,curve_or_rating,model_version,is_added
G60F61Yo1,orifice,G60F61Y,G60O361,1.36,0.66,,NO,original,0
G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,0.0,0.66,,NO,original,0
G71F12Pw1,orifice,G71F12P,G71O020,0.321,0.66,,YES,original,0
G60F60Yw1,weir,G60F60Y,G60F60X,1.38,1.77,,NO,original,0
G70F62Yw1,weir,G70F62Y,G70F62X,0.98,1.77,,NO,original,0
G71F06Rw1,weir,G71F06R,G71F06R_ovl,0.39,1.77,,NO,original,0
G71F090w1,weir,G71F090,G71F04R,1.101,1.77,,NO,original,0
G72R33Bw1,weir,G72R33B,G72R642,1.419,1.77,,NO,original,0
G72R34Rw1,weir,G72R34R,G72R34X,1.35,1.77,,NO,original,0
G72R520w1,weir,G72R520,G72R52X,1.3,1.77,,NO,original,0
G75F65Yw1,weir,G75F65Y,G75F65X,0.249,1.77,,NO,original,0
G80F11Bw1,weir,G80F11B,G80O010,1.1,1.77,,YES,original,0
G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,4.71,1.77,,NO,original,0
G72K020w1,weir,G72K020,G71F05R_skyl,0.54,1.77,,NO,original,0
G80F66Yw1,weir,G80F66Y,G80F66X,1.26,1.77,,NO,original,0
G80F66Yw2,weir,G80F66Y,G80F66X,2.05,1.77,,NO,original,0
G72R33Bout1,outlet,G72R33B,G72R33Bb,,,,NO,original,0
G71F68Yout1,outlet,G71F68Y,G71R050,,,,NO,original,0
G80F310_G80F13P_l1,outlet,G80F310,G80F13P,,,,NO,original,0
G72R150_G74F150_l1,outlet,G72R150,G74F150,,,,NO,original,0
G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,,,,NO,original,0
G72R520_l1_vandbremse,outlet,G72R520,G72R52X,,,,NO,original,0
G72R34R_vandbremse,outlet,G72R34R,G72R34X,,,,NO,original,0
F74F360,outfall,F74F360,,9.409,,,FREE,original,0
G60K220,outfall,G60K220,,8.919,,,FREE,original,0
G60U02F,outfall,G60U02F,,11.249,,,FREE,original,0
G70U01F,outfall,G70U01F,,13.479,,,FREE,original,0
G71U02F,outfall,G71U02F,,11.119,,,FREE,original,0
G71U10F,outfall,G71U10F,,10.35,,,FREE,original,0
G72U07R,outfall,G72U07R,,29.86,,,FREE,original,0
G75U03F,outfall,G75U03F,,30.419,,,FREE,original,0
G80U03F,outfall,G80U03F,,34.63,,,FREE,original,0
G_ADD,outfall,G_ADD,,10.35,,,FREE,v2,1
