node_id,reason,max_depth_m,max_level_ratio,total_flooding_volume_m3
G60F040,top30_level_ratio,1.87116,0.66119,0.0
G60F060,top30_level_ratio,1.94855,0.70857,0.0
G60F070,flooding_node;orange_red_risk_node;top30_level_ratio,2.58,1.0,13.49238
G60F090,top30_level_ratio,2.03606,0.74038,0.0
G60F110,top30_level_ratio,2.00903,0.75244,0.0
G60F120,top30_level_ratio,2.08528,0.84767,0.0
G60F130,top30_level_ratio,2.06407,0.78184,0.0
G60F141,top30_level_ratio,2.08228,0.68722,0.0
G60F60Y,top30_level_ratio,1.75797,0.75449,0.0
G60K200,orange_red_risk_node;top30_level_ratio,0.47449,0.95088,0.0
G60K210,top30_level_ratio,0.43977,0.87953,0.0
G60R303,flooding_node;orange_red_risk_node;top30_level_ratio,1.61,1.0,9.9871
G65F110,top30_level_ratio,1.83731,0.66329,0.0
G70F010,top30_level_ratio,1.69022,0.76136,0.0
G70F030,flooding_node;orange_red_risk_node;top30_level_ratio,1.75,1.0,5.19155
G70F040,top30_level_ratio,1.61301,0.88143,0.0
G70F070,top30_level_ratio,1.17803,0.7054,0.0
G70F100,flooding_node;orange_red_risk_node;top30_level_ratio,2.3,1.0,46.39877
G70F11P,pump_inlet_or_forebay;pump_station_forebay;top30_level_ratio,3.67355,0.80737,0.0
G70F301,top30_level_ratio,3.73906,0.79895,0.0
G70S020,top30_level_ratio,1.3042,0.71659,0.0
G70S030,top30_level_ratio,1.26253,0.77934,0.0
G71F010,top30_level_ratio,1.11817,0.69023,0.0
G71F04R,storage_node,3.28402,0.45172,0.0
G71F05R,storage_node,2.28435,0.27489,0.0
G71F05R_skyl,storage_node,4.83286,0.58865,0.0
G71F090,storage_node,1.19957,0.39721,0.0
G71F12P,pump_inlet_or_forebay;pump_station_forebay,0.47925,0.14976,0.0
G71F320,added_pump_related_node;orange_red_risk_node;pump_inlet_or_forebay;pump_station_forebay;storage_node;top30_level_ratio,3.56236,0.97867,0.0
G71F68Y,pump_inlet_or_forebay;pump_station_forebay;storage_node;top30_level_ratio,5.18154,0.77801,0.0
G71R050,storage_node,0.26968,0.07389,0.0
G72F491,top30_level_ratio,2.06965,0.72365,0.0
G72F492,orange_red_risk_node;top30_level_ratio,2.56129,0.91802,0.0
G72F493,orange_red_risk_node;top30_level_ratio,2.74042,0.94173,0.0
G72F494,flooding_node;orange_red_risk_node;top30_level_ratio,3.03,1.0,43.45254
G72R160,top30_level_ratio,1.89854,0.73021,0.0
G72R33B,storage_node,1.03401,0.54422,0.0
G72R34R,storage_node,0.147,0.07171,0.0
G72R520,storage_node,0.5607,0.10783,0.0
G72R70B,storage_node,1.98901,0.59712,0.0
G72R83B,storage_node,1.94344,0.36669,0.0
G72R84B,storage_node,2.03751,0.53338,0.0
G80F11B,storage_node,1.15108,0.46792,0.0
G80F13P,pump_inlet_or_forebay;pump_station_forebay;storage_node,1.33069,0.30946,0.0
G80F66Y,storage_node,1.8453,0.57112,0.0
G_ADD,added_pump_related_node,0.0,0.0,0.0
